bench,variant,size,run,us,compressed_len,ret
bench_snappy_compress,mem0,131072,4,467.837,6643,0
bench_snappy_compress,mem0,262144,0,891.240,13283,0
bench_snappy_compress,mem0,262144,1,888.152,13283,0
bench_snappy_compress,mem0,262144,2,884.648,13283,0
bench_snappy_compress,mem0,262144,3,885.243,13283,0
bench_snappy_compress,mem0,262144,4,869.965,13283,0
bench_snappy_compress,mem0,524288,0,1667.744,26563,0
bench_snappy_compress,mem0,524288,1,1664.752,26563,0
bench_snappy_compress,mem0,524288,2,1664.389,26563,0
bench_snappy_compress,mem0,524288,3,1666.525,26563,0
bench_snappy_compress,mem0,524288,4,1665.948,26563,0
bench_snappy_compress,mem0,1048576,0,3300.900,53123,0
bench_snappy_compress,mem0,1048576,1,3290.547,53123,0
bench_snappy_compress,mem0,1048576,2,3289.849,53123,0
bench_snappy_compress,mem0,1048576,3,3297.534,53123,0
bench_snappy_compress,mem0,1048576,4,3289.139,53123,0
bench_snappy_compress,mem0,2097152,0,6538.076,106244,0
bench_snappy_compress,mem0,2097152,1,6537.070,106244,0
bench_snappy_compress,mem0,2097152,2,6554.293,106244,0
bench_snappy_compress,mem0,2097152,3,6542.195,106244,0
bench_snappy_compress,mem0,2097152,4,6535.390,106244,0
